id,exercise_id,muscle_group_id
d318abf8-92c3-4e4c-8d66-e494921e1e09,df0613d1-8b79-4f21-8e24-58f3d2db9655,4e26aa65-dc3c-415c-9a17-ccea45b11bd8
9426a1ff-f6ff-40e7-a18e-b69b87385a0e,73626a02-02e1-402a-bc5b-a21f6818f620,4e26aa65-dc3c-415c-9a17-ccea45b11bd8
b82f7979-c15a-4ce5-b889-2e96a085c8a0,ecf1600d-a08a-447e-b118-19ddca6307fe,4e26aa65-dc3c-415c-9a17-ccea45b11bd8
54f1e09a-6b45-40ae-b4a3-4e4c3a148065,96a37978-baf2-4666-82af-66fe7bfc0db2,4e26aa65-dc3c-415c-9a17-ccea45b11bd8
29020072-2b6f-4faa-843a-2d02a465764b,fc2af4ce-b039-4028-a98c-d0d4f4f9f585,4e26aa65-dc3c-415c-9a17-ccea45b11bd8
09a02a71-ddd8-4192-809f-2f2c406e7e15,00fd83d9-892e-4b85-bf86-ba781572e6e8,4e26aa65-dc3c-415c-9a17-ccea45b11bd8
93b8eace-3d9c-461d-aa94-f89b9d17b72a,7d735184-57d8-482f-a485-f6e564862ba1,4e26aa65-dc3c-415c-9a17-ccea45b11bd8
23225454-b7a8-46a3-8c78-d42e2742033a,f132b982-1d3d-4069-9628-a568a28c84f0,e05de925-1e66-4547-8950-1d26e5de9e11
a7976aed-954e-4995-82ea-339854f87477,f132b982-1d3d-4069-9628-a568a28c84f0,af4d7669-3a4a-480b-b8aa-17e39ad4d8c8
7b7986d9-4507-4200-b20f-4eed152c183a,fed1d3a1-c90c-453d-939a-df512e3ec7f1,e05de925-1e66-4547-8950-1d26e5de9e11
504489f3-fd1c-4b48-aef1-d4e4474a56ac,fed1d3a1-c90c-453d-939a-df512e3ec7f1,af4d7669-3a4a-480b-b8aa-17e39ad4d8c8
9c4f895f-4b03-481e-b6d4-1301edb3c67a,0dbadae2-eccc-4706-add2-5c56ebe54d78,e05de925-1e66-4547-8950-1d26e5de9e11
19aad948-b332-45cd-910b-e5280a11a54a,0dbadae2-eccc-4706-add2-5c56ebe54d78,af4d7669-3a4a-480b-b8aa-17e39ad4d8c8
5884a20c-7a2e-4195-9a88-a24054b78a7c,62699ec1-8e47-4508-98ad-005d537d8785,e05de925-1e66-4547-8950-1d26e5de9e11
03abaa98-17e3-40f8-b328-ee178afd2665,62699ec1-8e47-4508-98ad-005d537d8785,af4d7669-3a4a-480b-b8aa-17e39ad4d8c8
d1db48f2-8a14-44a1-a346-8d21364c311f,681c204c-0568-4a65-93d5-3a1e485e7edc,e05de925-1e66-4547-8950-1d26e5de9e11
01736981-ec27-4a11-ab8b-0067a11a1fe0,681c204c-0568-4a65-93d5-3a1e485e7edc,af4d7669-3a4a-480b-b8aa-17e39ad4d8c8
f7c860ed-8b5a-43bf-ae25-0aa7f72cfa80,4e495cc5-7720-45a1-a050-d2de556fcb5a,e05de925-1e66-4547-8950-1d26e5de9e11
e0e67a62-ff8d-4fef-bc9c-b7069ccc3a3c,4e495cc5-7720-45a1-a050-d2de556fcb5a,af4d7669-3a4a-480b-b8aa-17e39ad4d8c8
315caaa1-adbd-4da9-80f5-c49972a73410,feb9034b-ed40-4273-ab3c-c62756ec3fa9,e05de925-1e66-4547-8950-1d26e5de9e11
94bf7e7f-e3a3-4a18-8dd2-a19cbd71ba44,feb9034b-ed40-4273-ab3c-c62756ec3fa9,af4d7669-3a4a-480b-b8aa-17e39ad4d8c8
2028ab87-7670-4e59-aaa4-e3d8c11d9ea1,5d0f32cc-3743-4222-b65f-1bff22615fa0,d26ed0c4-2941-49e9-9c09-efce5663ab92
d6a95680-b29c-4a6b-b238-289255aaf1ef,5d0f32cc-3743-4222-b65f-1bff22615fa0,0a8ec2e6-f77d-4fdd-a216-e2bf7714c7f2
e43a8316-a34c-4a20-918f-af543b2cf107,309a0a74-d532-4667-b324-3a793efc5284,d26ed0c4-2941-49e9-9c09-efce5663ab92
1e38b921-36de-4cee-9dfd-55434e1a44fe,309a0a74-d532-4667-b324-3a793efc5284,0a8ec2e6-f77d-4fdd-a216-e2bf7714c7f2
